DateTime,Breathing
2026-01-07 09:52:45.003000+00:00,489
2026-01-07 09:52:45.042000+00:00,490
2026-01-07 09:52:45.081000+00:00,491
2026-01-07 09:52:45.120000+00:00,493
2026-01-07 09:52:45.159000+00:00,494
2026-01-07 09:52:45.198000+00:00,496
2026-01-07 09:52:45.237000+00:00,498
2026-01-07 09:52:45.276000+00:00,500
2026-01-07 09:52:45.315000+00:00,502
2026-01-07 09:52:45.355000+00:00,505
2026-01-07 09:52:45.394000+00:00,507
2026-01-07 09:52:45.433000+00:00,509
2026-01-07 09:52:45.472000+00:00,510
2026-01-07 09:52:45.511000+00:00,512
2026-01-07 09:52:45.550000+00:00,514
2026-01-07 09:52:45.589000+00:00,516
2026-01-07 09:52:45.628000+00:00,518
2026-01-07 09:52:45.667000+00:00,520
2026-01-07 09:52:45.706000+00:00,522
2026-01-07 09:52:45.745000+00:00,524
2026-01-07 09:52:45.784000+00:00,525
2026-01-07 09:52:45.823000+00:00,526
2026-01-07 09:52:45.862000+00:00,526
2026-01-07 09:52:45.901000+00:00,525
2026-01-07 09:52:45.940000+00:00,524
2026-01-07 09:52:45.980000+00:00,522
2026-01-07 09:52:46.019000+00:00,520
2026-01-07 09:52:46.058000+00:00,517
2026-01-07 09:52:46.097000+00:00,515
2026-01-07 09:52:46.136000+00:00,512
2026-01-07 09:52:46.175000+00:00,509
2026-01-07 09:52:46.214000+00:00,507
2026-01-07 09:52:46.253000+00:00,504
2026-01-07 09:52:46.292000+00:00,502
2026-01-07 09:52:46.331000+00:00,500
2026-01-07 09:52:46.370000+00:00,498
2026-01-07 09:52:46.409000+00:00,497
2026-01-07 09:52:46.448000+00:00,496
2026-01-07 09:52:46.487000+00:00,495
2026-01-07 09:52:46.526000+00:00,494
2026-01-07 09:52:46.565000+00:00,494
2026-01-07 09:52:46.605000+00:00,493
2026-01-07 09:52:46.644000+00:00,493
2026-01-07 09:52:46.683000+00:00,493
2026-01-07 09:52:46.722000+00:00,493
2026-01-07 09:52:46.761000+00:00,494
2026-01-07 09:52:46.800000+00:00,494
2026-01-07 09:52:46.839000+00:00,494
2026-01-07 09:52:46.878000+00:00,495
2026-01-07 09:52:46.917000+00:00,496
2026-01-07 09:52:46.956000+00:00,497
2026-01-07 09:52:46.995000+00:00,497
2026-01-07 09:52:47.034000+00:00,498
2026-01-07 09:52:47.073000+00:00,499
